ticker;nome;indice
A1LB34;Albemarle Co DRN;BDR
M1TA34;Meta Plat DRN;BDR
COCA34;Coca Cola DRN;BDR
MRCK34;Merck DRN;BDR
P1LD34;Prologis Inc DRN;BDR
TSMC34;Taiwansmfac DRN;BDR
AVGO34;Broadcom Inc DRN;BDR
WALM34;Wal Mart DRN;BDR
DHER34;Danaher Corp DRN;BDR
B1TI34;British Amer DRN;BDR
S2UI34;Sun Commun DRN;BDR
N1VO34;Novo Nordisk DRN;BDR
MUTC34;Micron Techn DRN;BDR
DEEC34;Deere Co DRN;BDR
C2OL34;Grupocibest DRN;BDR
TMCO34;Toyotamo DRN;BDR
S2TA34;Stag Industr DRN;BDR
SNEC34;Sony Group DRN;BDR
MMMC34;3m DRN ED;BDR
STOC34;Stone Co DRN;BDR
S2ED34;Solar Tech DRN;BDR

BOVA11;iShares Ibovespa Fundo de Índice;ETF
SMAL11;iShares BM&FBovespa Small Cap Fundo de Índice;ETF
BOVV11;It Now Ibovespa Fundo de Índice;ETF
IVVB11;iShares S&P 500 Fundo de Índice;ETF
HASH11;Hashdex Nasdaq Crypto Index Fundo de Índice;ETF
NASD11;Trend Nasdaq 100 ETF;ETF
FIND11;It Now IFNC Fundo de Índice;ETF
GOLD11;Trend LBMA Ouro;ETF
LFTS11;Investo Tesouro Selic Fundo de Índice;ETF
IMAB11;It Now IMA-B Fundo de Índice;ETF
QBTC11;QR Bitcoin ETF;ETF
ISUS11;It Now ISE Fundo de Índice;ETF
BREW11;B Index Brew Fundo de Índice;ETF
ESGB11;BTG ESG Fundo de Índice;ETF
BBOI11;BB Índice Futuro de Boi Gordo Fundo de Índice;ETF
DVER11;BB Índice Diversidade Fundo de Índice;ETF
TRIG11;Trígono Teva Micro/Small Cap Fundo de Índice;ETF
LVOL11;Nu Ibov Smart Low Volatility Fundo de Índice;ETF
SPUB11;Safra Ibovespa Empresas Estatais Fundo de Índice;ETF
DIVD11;It Now IDIV Renda Dividendos Fundo de Índice;ETF
DIVO11;iShares Dividendos Brasil Fundo de Índice;ETF
